Front,Back
¡No oigan!,Do not hear! (ustedes)
¡Da!,Give! (tú)
¡No des!,Do not give! (tú)
¡Dé!,Give! (usted)
¡No dé!,Do not give! (usted)
¡Den!,Give! (ustedes)
¡No den!,Do not give! (ustedes)
Este,This (masculine singular)
Esta,This (feminine singular)
Estos,These (masculine plural)
Estas,These (feminine plural)
Ese,That (masculine singular)
Esa,That (feminine singular)
Esos,Those (masculine plural)
Esas,Those (feminine plural)
Aquel,That (masculine singular, far)
Aquélla,That (feminine singular, far)
Aquellos,Those (masculine plural, far)
Aquéllas,Those (feminine plural, far)
Esto,This (neuter)
Eso,That (neuter)
Aquello,That (neuter, far)
Éste,This one (masculine singular pronoun)
Ésta,This one (feminine singular pronoun)
Éstos,These (masculine plural pronoun)
Éstas,These (feminine plural pronoun)
Ése,That one (masculine singular pronoun)
Ésa,That one (feminine singular pronoun)
Ésos,Those (masculine plural pronoun)
Ésas,Those (feminine plural pronoun)
Aquéll,That one (masculine singular pronoun, far)
Aquélla,That one (feminine singular pronoun, far)
Aquéllos,Those (masculine plural pronoun, far)
Aquéllas,Those (feminine plural pronoun, far)
No,Not
Nada,Nothing
Nunca,Never
Jamás,Never (stronger)
Tampoco,Neither
Nadie,Nobody
Ya no,No longer
En absoluto,Not at all
De ningún modo,In no way
En/por
